行号,job_company,job_persons,job_salary
0,跨越新科技      ,10000人以上   ,25k-40k   
1,水滴筹        ,1000-9999人 ,25k-50k   
2,蚂蚁金服       ,10000人以上   ,30k-60k   
3,安居客        ,10000人以上   ,20k-40k   
4,京东世纪贸易有限公司 ,10000人以上   ,25k-50k   
5,今日头条       ,10000人以上   ,15k-30k   
6,VIPKID     ,10000人以上   ,30k-60k   
7,饿了么        ,10000人以上   ,25k-50k   
8,Boss直聘     ,1000-9999人 ,80k-110k  
9,云校         ,1000-9999人 ,25k-50k   
10,马蜂窝        ,1000-9999人 ,25k-50k   
11,当当         ,1000-9999人 ,25k-50k   
12,同方威视       ,1000-9999人 ,14k-15k   
13,今日头条       ,10000人以上   ,25k-50k   
14,Testin云测   ,500-999人   ,20k-40k   
15,三一集团       ,10000人以上   ,50k-80k   
16,直真科技       ,500-999人   ,20k-30k   
17,58到家       ,1000-9999人 ,23k-35k   
18,茂逊         ,500-999人   ,15k-30k   
19,水滴筹        ,1000-9999人 ,25k-50k   
20,Boss直聘     ,1000-9999人 ,20k-40k   
21,今日头条       ,10000人以上   ,20k-40k   
22,旷视科技       ,1000-9999人 ,20k-40k   
23,北京千喜鹤      ,10000人以上   ,25k-35k   
24,58集团       ,10000人以上   ,30k-50k   
25,丽晶美成       ,20-99人     ,25k-50k   
26,今日头条       ,10000人以上   ,20k-40k   
27,阿里巴巴集团     ,10000人以上   ,25k-50k   
28,蛋壳公寓       ,1000-9999人 ,30k-60k   
29,瑞幸咖啡       ,10000人以上   ,30k-40k   
30,滴滴出行       ,10000人以上   ,25k-50k   
31,Boss直聘     ,1000-9999人 ,20k-40k   
32,汽车之家       ,1000-9999人 ,30k-35k   
33,小药药        ,1000-9999人 ,30k-50k   
34,达达-京东到家    ,1000-9999人 ,25k-50k   
35,今日头条       ,10000人以上   ,30k-50k   
36,微软中国       ,10000人以上   ,20k-40k   
37,闪送科技       ,500-999人   ,20k-40k   
38,随行付金科      ,100-499人   ,25k-40k   
39,泛阿网络       ,100-499人   ,20k-35k   
40,物联顺通       ,100-499人   ,20k-40k   
41,旷视科技       ,1000-9999人 ,30k-50k   
42,去哪儿        ,1000-9999人 ,20k-40k   
43,华清科盛       ,100-499人   ,25k-35k   
44,锋巢信息       ,100-499人   ,25k-50k   
45,华为         ,10000人以上   ,25k-40k   
46,思源互联科技     ,1000-9999人 ,30k-50k   
47,魔力耳朵       ,500-999人   ,40k-60k   
48,泛阿网络       ,100-499人   ,27k-40k   
49,今日头条       ,10000人以上   ,20k-40k   
50,京东数字科技     ,1000-9999人 ,30k-60k   
51,小鹏汽车       ,1000-9999人 ,6k-7k     
52,BOE        ,10000人以上   ,25k-35k   
53,京东集团       ,10000人以上   ,30k-60k   
54,恒润科技       ,1000-9999人 ,10k-15k   
55,小药药        ,1000-9999人 ,40k-70k   
56,合伙猫        ,500-999人   ,30k-60k   
57,清华同方       ,10000人以上   ,30k-60k   
58,威马汽车       ,1000-9999人 ,30k-40k   
59,三一集团       ,10000人以上   ,50k-80k   
60,停简单        ,500-999人   ,20k-40k   
61,国美在线       ,10000人以上   ,20k-40k   
62,量化派        ,100-499人   ,15k-25k   
63,今日头条       ,10000人以上   ,25k-50k   
64,北京新氧万维     ,500-999人   ,25k-50k   
65,落角         ,100-499人   ,30k-60k   
66,海致BDP      ,100-499人   ,15k-25k   
67,四维图新       ,1000-9999人 ,15k-25k   
68,河狸家        ,500-999人   ,70k-100k  
69,百度         ,10000人以上   ,30k-35k   
70,Boss直聘     ,1000-9999人 ,30k-50k   
71,今日头条       ,10000人以上   ,25k-50k   
72,百融金服       ,500-999人   ,20k-40k   
73,界面网        ,100-499人   ,20k-40k   
74,北京泰豪       ,500-999人   ,15k-30k   
75,茄子快传       ,100-499人   ,30k-60k   
76,百度         ,10000人以上   ,20k-40k   
77,OPPO       ,10000人以上   ,30k-60k   
78,创奇视界       ,0-20人      ,18k-25k   
79,大汉正源       ,0-20人      ,20k-40k   
80,河狸家        ,500-999人   ,30k-50k   
81,百科名医       ,20-99人     ,18k-30k   
82,BOE        ,10000人以上   ,12k-24k   
83,映客直播       ,500-999人   ,25k-35k   
84,今日头条       ,10000人以上   ,25k-50k   
85,下厨房        ,100-499人   ,15k-25k   
86,清华同方       ,10000人以上   ,30k-60k   
87,量化派        ,100-499人   ,12k-18k   
88,伊甸工程设计     ,500-999人   ,25k-50k   
89,弘道智慧中医     ,100-499人   ,18k-35k   
90,BOE        ,10000人以上   ,12k-24k   
91,映客直播       ,500-999人   ,25k-35k   
92,今日头条       ,10000人以上   ,25k-50k   
93,量化派        ,100-499人   ,12k-18k   
94,伊甸工程设计     ,500-999人   ,25k-50k   
95,清华同方       ,10000人以上   ,30k-60k   
96,雪球公司       ,100-499人   ,30k-60k   
97,河狸家        ,500-999人   ,30k-50k   
98,嘉楠捷思       ,100-499人   ,50k-80k   
99,联合创展       ,100-499人   ,25k-50k   
100,今日头条       ,10000人以上   ,20k-40k   
101,vivo       ,10000人以上   ,35k-65k   
102,落角         ,100-499人   ,30k-60k   
103,中通天鸿       ,100-499人   ,20k-30k   
104,人人云图       ,20-99人     ,8k-13k    
105,汽车之家       ,1000-9999人 ,20k-40k   
106,宽凳科技       ,100-499人   ,25k-50k   
107,VIPKID     ,10000人以上   ,35k-60k   
108,云数启源       ,500-999人   ,35k-45k   
109,影谱科技       ,100-499人   ,20k-40k   
110,探迹         ,100-499人   ,20k-40k   
111,同方威视       ,1000-9999人 ,14k-22k   
112,北京爱欣文化发展...,100-499人   ,28k-40k   
113,羿娲科技       ,20-99人     ,20k-40k   
114,国美在线       ,10000人以上   ,26k-50k   
115,腾讯         ,10000人以上   ,30k-35k   
116,神州优车集团     ,10000人以上   ,20k-40k   
117,缙铖医疗       ,20-99人     ,15k-30k   
118,量化派        ,100-499人   ,20k-30k   
119,锦仕咨询       ,0-20人      ,20k-40k   
120,首约科技       ,1000-9999人 ,25k-50k   
121,恒亚通        ,0-20人      ,20k-35k   
122,普强信息       ,100-499人   ,20k-33k   
123,映客直播       ,500-999人   ,25k-40k   
124,君正集成       ,100-499人   ,10k-15k   
125,一起教育科技     ,1000-9999人 ,25k-50k   
126,地平线        ,1000-9999人 ,20k-40k   
127,VIPKID     ,10000人以上   ,30k-50k   
128,亿阳信通       ,1000-9999人 ,15k-30k   
129,茄子快传       ,100-499人   ,25k-50k   
130,鑫瑞天翔       ,20-99人     ,35k-50k   
131,云知声        ,100-499人   ,15k-25k   
132,超思电子       ,500-999人   ,25k-50k   
133,青萌数海科技     ,0-20人      ,15k-25k   
134,云天弈        ,20-99人     ,23k-40k   
135,利卓创新       ,20-99人     ,15k-30k   
136,三一重能       ,1000-9999人 ,10k-20k   
137,小药药        ,1000-9999人 ,20k-35k   
138,同程艺龙       ,1000-9999人 ,25k-45k   
139,秒针系统       ,500-999人   ,15k-25k   
140,微店         ,500-999人   ,30k-60k   
141,北京爱欣文化发展...,100-499人   ,28k-40k   
142,联合创展       ,100-499人   ,25k-50k   
143,vivo       ,10000人以上   ,25k-35k   
144,OKCoin     ,500-999人   ,30k-40k   
145,京东数字科技     ,1000-9999人 ,30k-50k   
146,爱康国宾       ,1000-9999人 ,35k-45k   
147,随行付金科      ,100-499人   ,20k-30k   
148,今日头条       ,10000人以上   ,25k-50k   
149,中科创星       ,100-499人   ,25k-30k   
150,深度智耀       ,100-499人   ,20k-40k   
151,腾讯         ,10000人以上   ,30k-60k   
152,踏歌智行       ,100-499人   ,25k-40k   
153,北京灵思创奇科技...,20-99人     ,11k-20k   
154,三一集团       ,10000人以上   ,20k-40k   
155,丽晶美成       ,20-99人     ,35k-60k   
156,任意门科技      ,100-499人   ,25k-50k   
157,蔚蓝鬼计       ,100-499人   ,60k-90k   
158,神州泰岳       ,100-499人   ,15k-25k   
159,精诊科技       ,20-99人     ,15k-30k   
160,阿里巴巴高德     ,1000-9999人 ,35k-50k   
161,好好住        ,100-499人   ,20k-40k   
162,京东数字科技     ,1000-9999人 ,20k-40k   
163,天学网        ,500-999人   ,20k-40k   
164,爱医声        ,0-20人      ,15k-30k   
165,羿娲科技       ,20-99人     ,20k-40k   
166,快手         ,1000-9999人 ,30k-60k   
167,财税智库       ,20-99人     ,30k-35k   
168,DNV音乐集团    ,100-499人   ,20k-40k   
169,居理新房       ,1000-9999人 ,40k-60k   
170,云数启源       ,500-999人   ,35k-45k   
171,iHandy     ,100-499人   ,20k-40k   
172,鑫互联        ,100-499人   ,30k-40k   
173,宽凳科技       ,100-499人   ,30k-60k   
174,普强信息       ,100-499人   ,20k-40k   
175,聚思致远教育     ,20-99人     ,10k-15k   
176,智行者科技      ,100-499人   ,20k-40k   
177,惠通嘉华       ,20-99人     ,30k-60k   
178,SENSORO    ,100-499人   ,25k-40k   
179,亿阳信通       ,1000-9999人 ,30k-45k   
180,居理新房       ,1000-9999人 ,30k-60k   
181,勤天美信       ,20-99人     ,20k-40k   
182,今日头条       ,10000人以上   ,30k-60k   
183,海云数据       ,100-499人   ,25k-40k   
184,启迪云控       ,100-499人   ,15k-25k   
185,京东数字科技     ,1000-9999人 ,20k-40k   
186,威马汽车       ,1000-9999人 ,24k-40k   
187,小药药        ,1000-9999人 ,20k-35k   
188,分享动力       ,20-99人     ,40k-70k   
189,洛伦兹        ,20-99人     ,20k-30k   
190,蚂蚁金服       ,10000人以上   ,20k-40k   
191,北京市城果科技有...,20-99人     ,20k-40k   
192,用友网络科技     ,10000人以上   ,2k-4k     
193,联合创展       ,100-499人   ,30k-60k   
194,爱康国宾       ,1000-9999人 ,35k-45k   
195,跟谁学        ,1000-9999人 ,30k-50k   
196,启元世界       ,20-99人     ,25k-50k   
197,视感科技       ,20-99人     ,18k-35k   
198,凤凰网        ,1000-9999人 ,15k-30k   
199,苏州步长       ,20-99人     ,12k-24k   
200,腾讯         ,10000人以上   ,30k-60k   
201,中科晶上       ,100-499人   ,15k-30k   
202,贝壳找房       ,10000人以上   ,25k-50k   
203,北京未动科技有限公司 ,20-99人     ,30k-60k   
204,启元世界       ,20-99人     ,20k-40k   
205,闪灵未来       ,0-20人      ,15k-30k   
206,致远慧图       ,20-99人     ,20k-40k   
207,京东数字科技     ,1000-9999人 ,30k-60k   
208,象心力科技      ,0-20人      ,12k-22k   
209,掌游天下       ,100-499人   ,25k-40k   
210,狸米科技       ,1000-9999人 ,25k-50k   
211,百融金服       ,500-999人   ,4k-6k     
212,翔创科技       ,20-99人     ,15k-25k   
213,希子         ,20-99人     ,15k-30k   
214,蚂蚁金服       ,10000人以上   ,25k-45k   
215,远度科技       ,100-499人   ,20k-30k   
216,分享动力       ,20-99人     ,20k-40k   
217,华志医疗       ,20-99人     ,15k-30k   
218,量化派        ,100-499人   ,4k-8k     
219,中科创星       ,100-499人   ,11k-16k   
220,北航无人机公司    ,100-499人   ,13k-25k   
221,欣途峰        ,0-20人      ,20k-25k   
222,今日头条       ,10000人以上   ,30k-50k   
223,奇虎360      ,1000-9999人 ,15k-30k   
224,腾讯         ,10000人以上   ,30k-60k   
225,博云视觉       ,20-99人     ,6k-10k    
226,新世相        ,100-499人   ,15k-30k   
227,福满仓        ,100-499人   ,30k-40k   
228,茄子快传       ,100-499人   ,30k-60k   
229,恩典金鼎知行科技   ,20-99人     ,20k-40k   
230,汉朗网科       ,20-99人     ,15k-20k   
231,今日头条       ,10000人以上   ,25k-50k   
232,洛伦兹        ,20-99人     ,30k-50k   
233,平安科技       ,1000-9999人 ,30k-60k   
234,清投智能       ,100-499人   ,15k-20k   
235,大汉正源       ,0-20人      ,20k-40k   
236,易道博识       ,20-99人     ,20k-30k   
237,艾普希隆       ,20-99人     ,100k-180k 
238,中测智绘       ,0-20人      ,25k-35k   
239,创新奇智       ,100-499人   ,20k-40k   
240,洛伦兹        ,20-99人     ,30k-50k   
241,清投智能       ,100-499人   ,15k-20k   
242,易道博识       ,20-99人     ,20k-30k   
243,艾普希隆       ,20-99人     ,100k-180k 
244,中测智绘       ,0-20人      ,25k-35k   
245,创新奇智       ,100-499人   ,20k-40k   
246,北京灵思创奇科技...,20-99人     ,8k-15k    
247,百度         ,10000人以上   ,20k-40k   
248,北京远看       ,0-20人      ,20k-40k   
249,BIGO       ,1000-9999人 ,30k-50k   
250,致远慧图       ,20-99人     ,20k-35k   
251,互影         ,20-99人     ,20k-40k   
252,蚂蚁金服       ,10000人以上   ,25k-50k   
253,音悦荚        ,20-99人     ,15k-30k   
254,橙鹰         ,100-499人   ,40k-70k   
255,希子         ,20-99人     ,30k-60k   
256,roobo      ,100-499人   ,20k-40k   
257,超凡股份       ,1000-9999人 ,15k-30k   
258,联合创展       ,100-499人   ,35k-55k   
259,缙铖医疗       ,20-99人     ,20k-30k   
260,腾讯         ,10000人以上   ,22k-23k   
261,同方威视       ,1000-9999人 ,15k-20k   
262,地平线        ,1000-9999人 ,20k-40k   
263,大视景        ,20-99人     ,15k-30k   
264,必要商城       ,100-499人   ,20k-35k   
265,联合创展       ,100-499人   ,30k-55k   
266,快陪练        ,100-499人   ,25k-50k   
267,数介科技       ,20-99人     ,15k-22k   
268,神州四达       ,20-99人     ,10k-15k   
269,小药药        ,1000-9999人 ,20k-35k   
270,周同科技       ,20-99人     ,20k-40k   
271,捷通华声       ,100-499人   ,30k-60k   
272,福满仓        ,100-499人   ,25k-35k   
273,nreal.ai   ,20-99人     ,30k-40k   
274,中通天鸿       ,100-499人   ,15k-20k   
275,联洋国融（北京）...,20-99人     ,20k-30k   
276,创新奇智       ,100-499人   ,6k-7k     
277,踏歌智行       ,100-499人   ,20k-30k   
278,今日头条       ,10000人以上   ,35k-50k   
279,芜湖通江       ,100-499人   ,14k-24k   
280,汉能控股集团     ,10000人以上   ,25k-40k   
281,百融金服       ,500-999人   ,4k-6k     
282,减脂时代       ,20-99人     ,15k-30k   
283,希子         ,20-99人     ,30k-50k   
284,蜗牛睡眠       ,20-99人     ,20k-40k   
285,小鹏汽车       ,1000-9999人 ,26k-45k   
286,欣途峰        ,0-20人      ,18k-23k   
287,百度         ,10000人以上   ,30k-60k   
288,巧达数据       ,100-499人   ,20k-35k   
289,BIGO       ,1000-9999人 ,40k-70k   
290,京东数字科技     ,1000-9999人 ,30k-60k   
291,周同科技       ,20-99人     ,20k-40k   
292,创新奇智       ,100-499人   ,30k-50k   
293,艾普希隆       ,20-99人     ,30k-60k   
294,今日头条       ,10000人以上   ,30k-55k   
295,京东数字科技     ,1000-9999人 ,30k-50k   
296,举人在线       ,100-499人   ,35k-60k   
297,智慧足迹       ,20-99人     ,15k-30k   
298,减脂时代       ,20-99人     ,20k-40k   
299,爱咔咔        ,20-99人     ,15k-30k   
